Data,ConsumoLitros,Moradores,Temperatura_C,Mes,DiaSemana,ConsumoPorPessoa
2024-01-01,274.84,3,26.4,January,Monday,91.61
2024-01-02,243.09,2,34.3,January,Tuesday,121.54
2024-01-03,282.38,3,30.2,January,Wednesday,94.13
2024-01-04,326.15,3,36.3,January,Thursday,108.72
2024-01-05,238.29,5,33.6,January,Friday,47.66
2024-01-06,238.29,2,20.0,January,Saturday,119.14
2024-01-07,328.96,5,32.3,January,Sunday,65.79
2024-01-08,288.37,2,30.8,January,Monday,144.18
2024-01-09,226.53,2,26.8,January,Tuesday,113.26
2024-01-10,277.13,4,22.3,January,Wednesday,69.28
2024-01-11,226.83,2,30.4,January,Thursday,113.42
2024-01-12,226.71,5,19.7,January,Friday,45.34
2024-01-13,262.1,3,27.9,January,Saturday,87.37
2024-01-14,154.34,2,25.5,January,Sunday,77.17
2024-01-15,163.75,4,23.0,January,Monday,40.94
2024-01-16,221.89,5,32.8,January,Tuesday,44.38
2024-01-17,199.36,2,27.8,January,Wednesday,99.68
2024-01-18,265.71,5,28.7,January,Thursday,53.14
2024-01-19,204.6,4,31.6,January,Friday,51.15
2024-01-20,179.38,4,28.0,January,Saturday,44.84
2024-01-21,323.28,5,29.8,January,Sunday,64.66
2024-01-22,238.71,2,31.3,January,Monday,119.36
2024-01-23,253.38,3,30.3,January,Tuesday,84.46
2024-01-24,178.76,4,29.1,January,Wednesday,44.69
2024-01-25,222.78,2,35.1,January,Thursday,111.39
2024-01-26,255.55,2,33.0,January,Friday,127.78
2024-01-27,192.45,3,27.7,January,Saturday,64.15
2024-01-28,268.78,4,24.4,January,Sunday,67.19
2024-01-29,219.97,4,30.6,January,Monday,54.99
2024-01-30,235.42,2,28.9,January,Tuesday,117.71
2024-01-31,219.91,2,34.8,January,Wednesday,109.96
2024-02-01,342.61,3,31.9,February,Thursday,114.2
2024-02-02,249.33,3,31.1,February,Friday,83.11
2024-02-03,197.11,4,28.1,February,Saturday,49.28
2024-02-04,291.13,5,24.5,February,Sunday,58.23
2024-02-05,188.96,4,27.2,February,Monday,47.24
2024-02-06,260.44,2,29.9,February,Tuesday,130.22
2024-02-07,152.02,4,21.1,February,Wednesday,38.01
2024-02-08,183.59,5,33.0,February,Thursday,36.72
2024-02-09,259.84,3,36.3,February,Friday,86.61
2024-02-10,286.92,5,20.2,February,Saturday,57.38
2024-02-11,258.57,5,22.4,February,Sunday,51.71
2024-02-12,244.22,5,28.9,February,Monday,48.84
2024-02-13,234.94,3,25.7,February,Tuesday,78.31
2024-02-14,176.07,5,29.0,February,Wednesday,35.21
2024-02-15,214.01,5,27.7,February,Thursday,42.8
2024-02-16,226.97,5,23.9,February,Friday,45.39
2024-02-17,302.86,2,33.2,February,Saturday,151.43
2024-02-18,267.18,5,29.9,February,Sunday,53.44
2024-02-19,161.85,3,25.8,February,Monday,53.95
2024-02-20,266.2,5,34.0,February,Tuesday,53.24
2024-02-21,230.75,5,26.0,February,Wednesday,46.15
2024-02-22,216.15,3,23.0,February,Thursday,72.05
2024-02-23,280.58,5,28.7,February,Friday,56.12
2024-02-24,301.55,3,29.4,February,Saturday,100.52
2024-02-25,296.56,5,30.1,February,Sunday,59.31
2024-02-26,208.04,3,30.8,February,Monday,69.35
2024-02-27,234.54,5,30.1,February,Tuesday,46.91
2024-02-28,266.56,5,29.9,February,Wednesday,53.31
2024-02-29,298.78,2,25.7,February,Thursday,149.39
2024-03-01,226.04,2,25.3,March,Friday,113.02
2024-03-02,240.72,5,31.0,March,Saturday,48.14
2024-03-03,194.68,5,29.0,March,Sunday,38.94
2024-03-04,190.19,4,31.3,March,Monday,47.55
2024-03-05,290.63,3,21.2,March,Tuesday,96.88
2024-03-06,317.81,4,26.0,March,Wednesday,79.45
2024-03-07,246.4,2,35.6,March,Thursday,123.2
2024-03-08,300.18,2,30.2,March,Friday,150.09
2024-03-09,268.08,2,29.2,March,Saturday,134.04
2024-03-10,217.74,2,30.8,March,Sunday,108.87
2024-03-11,268.07,5,36.8,March,Monday,53.61
2024-03-12,326.9,2,36.0,March,Tuesday,163.45
2024-03-13,248.21,5,21.7,March,Wednesday,49.64
2024-03-14,328.23,5,23.2,March,Thursday,65.65
2024-03-15,119.01,2,21.5,March,Friday,59.5
2024-03-16,291.1,2,25.0,March,Saturday,145.55
2024-03-17,254.35,3,28.2,March,Sunday,84.78
2024-03-18,235.05,4,29.0,March,Monday,58.76
2024-03-19,254.59,2,21.9,March,Tuesday,127.3
2024-03-20,150.62,3,20.5,March,Wednesday,50.21
2024-03-21,239.02,3,24.9,March,Thursday,79.67
2024-03-22,267.86,4,31.7,March,Friday,66.96
2024-03-23,323.89,5,32.4,March,Saturday,64.78
2024-03-24,224.09,2,34.8,March,Sunday,112.04
2024-03-25,209.58,4,27.9,March,Monday,52.4
2024-03-26,224.91,2,31.3,March,Tuesday,112.46
2024-03-27,295.77,3,32.0,March,Wednesday,98.59
2024-03-28,266.44,3,26.0,March,Thursday,88.81
2024-03-29,223.51,5,29.6,March,Friday,44.7
2024-03-30,275.66,3,30.6,March,Saturday,91.89
2024-03-31,254.85,3,24.4,March,Sunday,84.95
2024-04-01,298.43,4,34.6,April,Monday,74.61
2024-04-02,214.9,2,27.8,April,Tuesday,107.45
2024-04-03,233.62,2,28.3,April,Wednesday,116.81
2024-04-04,230.39,4,24.2,April,Thursday,57.6
2024-04-05,176.82,5,24.9,April,Friday,35.36
2024-04-06,264.81,2,19.2,April,Saturday,132.4
2024-04-07,263.05,3,28.2,April,Sunday,87.68
2024-04-08,250.26,2,38.0,April,Monday,125.13
2024-04-09,238.27,3,23.9,April,Tuesday,79.42
2024-04-10,179.23,5,39.9,April,Wednesday,35.85
2024-04-11,228.97,4,33.7,April,Thursday,57.24
2024-04-12,232.86,2,26.1,April,Friday,116.43
2024-04-13,209.89,4,28.1,April,Saturday,52.47
2024-04-14,241.94,2,27.5,April,Sunday,120.97
2024-04-15,270.2,3,34.8,April,Monday,90.07
2024-04-16,344.31,4,30.1,April,Tuesday,86.08
2024-04-17,258.73,2,32.7,April,Wednesday,129.36
2024-04-18,262.88,3,29.4,April,Thursday,87.63
2024-04-19,246.28,4,27.6,April,Friday,61.57
2024-04-20,154.06,4,29.3,April,Saturday,38.52
2024-04-21,248.67,2,26.4,April,Sunday,124.34
2024-04-22,253.01,2,22.2,April,Monday,126.5
2024-04-23,373.16,2,31.3,April,Tuesday,186.58
2024-04-24,240.38,3,22.0,April,Wednesday,80.13
2024-04-25,265.08,2,26.9,April,Thursday,132.54
2024-04-26,248.26,4,26.2,April,Friday,62.06
2024-04-27,191.57,4,30.6,April,Saturday,47.89
2024-04-28,307.14,2,34.3,April,Sunday,153.57
2024-04-29,287.6,2,32.8,April,Monday,143.8
2024-04-30,289.55,5,30.7,April,Tuesday,57.91
2024-05-01,204.53,4,25.5,May,Wednesday,51.13
2024-05-02,320.14,3,27.3,May,Thursday,106.71
2024-05-03,179.91,5,26.7,May,Friday,35.98
2024-05-04,279.34,2,26.1,May,Saturday,139.67
2024-05-05,359.52,2,26.4,May,Sunday,179.76
2024-05-06,200.47,4,26.3,May,Monday,50.12
2024-05-07,221.69,2,26.1,May,Tuesday,110.84
2024-05-08,254.98,3,31.8,May,Wednesday,84.99
2024-05-09,224.83,4,23.8,May,Thursday,56.21
2024-05-10,172.47,2,25.1,May,Friday,86.24
2024-05-11,253.43,4,21.7,May,Saturday,63.36
2024-05-12,196.88,2,33.7,May,Sunday,98.44
2024-05-13,273.68,2,24.8,May,Monday,136.84
2024-05-14,204.03,2,30.6,May,Tuesday,102.02
2024-05-15,327.5,3,29.9,May,Wednesday,109.17
2024-05-16,210.84,3,33.3,May,Thursday,70.28
2024-05-17,233.9,4,27.2,May,Friday,58.48
2024-05-18,290.68,2,24.2,May,Saturday,145.34
2024-05-19,188.46,2,21.8,May,Sunday,94.23
2024-05-20,261.37,3,16.9,May,Monday,87.12
2024-05-21,315.36,2,28.6,May,Tuesday,157.68
2024-05-22,169.63,3,31.1,May,Wednesday,56.54
2024-05-23,259.23,2,29.9,May,Thursday,129.62
2024-05-24,262.99,4,21.9,May,Friday,65.75
2024-05-25,289.09,2,32.2,May,Saturday,144.54
2024-05-26,188.15,2,25.2,May,Sunday,94.08
2024-05-27,183.98,5,24.4,May,Monday,36.8
2024-05-28,276.1,3,25.1,May,Tuesday,92.03
2024-05-29,264.85,2,28.3,May,Wednesday,132.43
2024-05-30,262.52,2,22.1,May,Thursday,131.26
2024-05-31,267.32,5,27.9,May,Friday,53.46
2024-06-01,216.0,5,29.7,June,Saturday,43.2
2024-06-02,261.61,3,32.4,June,Sunday,87.2
2024-06-03,264.65,5,28.7,June,Monday,52.93
2024-06-04,214.28,4,22.6,June,Tuesday,53.57
2024-06-05,343.29,5,28.6,June,Wednesday,68.66
2024-06-06,273.69,4,23.8,June,Thursday,68.42
2024-06-07,190.43,3,23.5,June,Friday,63.48
2024-06-08,282.83,3,22.5,June,Saturday,94.28
2024-06-09,201.27,3,20.4,June,Sunday,67.09
2024-06-10,289.35,3,25.7,June,Monday,96.45
2024-06-11,307.93,3,32.5,June,Tuesday,102.64
2024-06-12,208.97,4,37.0,June,Wednesday,52.24
2024-06-13,298.17,4,25.7,June,Thursday,74.54
2024-06-14,270.64,3,32.3,June,Friday,90.21
2024-06-15,291.1,5,26.4,June,Saturday,58.22
2024-06-16,344.84,2,21.4,June,Sunday,172.42
2024-06-17,237.73,3,30.8,June,Monday,79.24
2024-06-18,212.31,5,28.9,June,Tuesday,42.46
2024-06-19,205.52,2,35.3,June,Wednesday,102.76
2024-06-20,209.21,3,21.9,June,Thursday,69.74
2024-06-21,246.14,3,39.2,June,Friday,82.05
2024-06-22,267.06,4,34.4,June,Saturday,66.76
2024-06-23,263.83,2,27.9,June,Sunday,131.92
2024-06-24,291.36,2,26.8,June,Monday,145.68
2024-06-25,250.65,5,25.1,June,Tuesday,50.13
2024-06-26,322.68,4,28.4,June,Wednesday,80.67
2024-06-27,236.77,4,27.3,June,Thursday,59.19
2024-06-28,386.01,4,30.1,June,Friday,96.5
2024-06-29,281.28,4,26.8,June,Saturday,70.32
2024-06-30,207.14,2,33.7,June,Sunday,103.57
2024-07-01,196.46,2,28.5,July,Monday,98.23
2024-07-02,274.12,3,27.0,July,Tuesday,91.37
2024-07-03,238.83,3,32.1,July,Wednesday,79.61
2024-07-04,285.7,4,21.5,July,Thursday,71.42
2024-07-05,273.66,4,29.4,July,Friday,68.42
2024-07-06,246.36,4,28.1,July,Saturday,61.59
2024-07-07,207.66,3,22.4,July,Sunday,69.22
2024-07-08,174.26,5,21.2,July,Monday,34.85
2024-07-09,227.67,5,32.0,July,Tuesday,45.53
2024-07-10,292.82,3,31.9,July,Wednesday,97.61
2024-07-11,260.7,3,28.7,July,Thursday,86.9
2024-07-12,187.71,3,34.9,July,Friday,62.57
2024-07-13,258.66,3,29.8,July,Saturday,86.22
2024-07-14,269.27,3,33.0,July,Sunday,89.76
2024-07-15,205.81,3,29.7,July,Monday,68.6
2024-07-16,257.69,4,26.9,July,Tuesday,64.42
2024-07-17,252.91,4,23.8,July,Wednesday,63.23
2024-07-18,192.85,4,25.6,July,Thursday,48.21
2024-07-19,267.89,4,27.0,July,Friday,66.97
2024-07-20,278.04,3,33.5,July,Saturday,92.68
2024-07-21,304.15,5,31.1,July,Sunday,60.83
2024-07-22,302.69,2,29.3,July,Monday,151.34
2024-07-23,181.12,3,31.5,July,Tuesday,60.37
2024-07-24,203.11,2,30.1,July,Wednesday,101.56
2024-07-25,275.75,5,29.0,July,Thursday,55.15
2024-07-26,275.69,4,22.0,July,Friday,68.92
2024-07-27,275.75,5,32.6,July,Saturday,55.15
2024-07-28,442.64,3,26.2,July,Sunday,147.55
2024-07-29,278.54,4,32.4,July,Monday,69.64
2024-07-30,306.78,3,32.7,July,Tuesday,102.26
2024-07-31,297.7,4,25.3,July,Wednesday,74.42
2024-08-01,282.57,2,31.8,August,Thursday,141.28
2024-08-02,234.24,2,26.6,August,Friday,117.12
2024-08-03,287.95,2,26.6,August,Saturday,143.98
2024-08-04,211.36,5,29.0,August,Sunday,42.27
2024-08-05,238.16,3,29.1,August,Monday,79.39
2024-08-06,225.73,5,28.2,August,Tuesday,45.15
2024-08-07,254.09,2,22.7,August,Wednesday,127.04
2024-08-08,365.73,3,27.5,August,Thursday,121.91
2024-08-09,156.64,2,37.1,August,Friday,78.32
2024-08-10,284.31,5,16.9,August,Saturday,56.86
2024-08-11,169.36,5,31.5,August,Sunday,33.87
2024-08-12,226.4,5,32.2,August,Monday,45.28
2024-08-13,304.45,2,22.6,August,Tuesday,152.22
2024-08-14,253.21,3,26.1,August,Wednesday,84.4
2024-08-15,196.11,3,24.0,August,Thursday,65.37
2024-08-16,214.23,2,35.4,August,Friday,107.12
2024-08-17,283.98,3,32.4,August,Saturday,94.66
2024-08-18,213.48,2,32.6,August,Sunday,106.74
2024-08-19,260.82,3,28.5,August,Monday,86.94
2024-08-20,252.28,4,33.2,August,Tuesday,63.07
2024-08-21,217.42,4,28.0,August,Wednesday,54.36
2024-08-22,357.2,5,33.4,August,Thursday,71.44
2024-08-23,281.7,4,27.4,August,Friday,70.42
2024-08-24,148.74,4,25.3,August,Saturday,37.18
2024-08-25,259.32,4,35.2,August,Sunday,64.83
2024-08-26,216.91,2,27.9,August,Monday,108.46
2024-08-27,292.62,4,24.4,August,Tuesday,73.16
2024-08-28,210.37,4,24.4,August,Wednesday,52.59
2024-08-29,244.26,5,24.4,August,Thursday,48.85
2024-08-30,275.25,4,31.4,August,Friday,68.81
2024-08-31,293.29,4,27.6,August,Saturday,73.32
2024-09-01,189.99,3,37.2,September,Sunday,63.33
2024-09-02,233.27,5,32.7,September,Monday,46.65
2024-09-03,226.25,5,29.0,September,Tuesday,45.25
2024-09-04,217.33,5,33.6,September,Wednesday,43.47
2024-09-05,338.27,5,26.0,September,Thursday,67.65
2024-09-06,270.25,5,20.6,September,Friday,54.05
2024-09-07,186.96,5,24.0,September,Saturday,37.39
2024-09-08,295.89,2,28.6,September,Sunday,147.94
2024-09-09,356.11,4,27.1,September,Monday,89.03
2024-09-10,301.62,5,31.3,September,Tuesday,60.32
2024-09-11,174.03,4,27.5,September,Wednesday,43.51
2024-09-12,225.79,4,31.0,September,Thursday,56.45
2024-09-13,313.35,2,34.0,September,Friday,156.68
2024-09-14,214.62,5,27.5,September,Saturday,42.92
2024-09-15,272.19,3,30.2,September,Sunday,90.73
2024-09-16,288.73,2,21.0,September,Monday,144.36
2024-09-17,203.65,3,27.5,September,Tuesday,67.88
2024-09-18,247.02,4,23.1,September,Wednesday,61.76
2024-09-19,87.94,4,28.6,September,Thursday,21.98
2024-09-20,198.78,2,28.9,September,Friday,99.39
2024-09-21,237.37,2,28.9,September,Saturday,118.68
2024-09-22,187.61,3,26.1,September,Sunday,62.54
2024-09-23,331.62,5,37.2,September,Monday,66.32
2024-09-24,178.49,3,22.9,September,Tuesday,59.5
2024-09-25,228.0,2,22.7,September,Wednesday,114.0
2024-09-26,256.54,3,34.6,September,Thursday,85.51
2024-09-27,322.06,2,25.2,September,Friday,161.03
2024-09-28,178.21,3,24.2,September,Saturday,59.4
2024-09-29,308.16,2,37.2,September,Sunday,154.08
2024-09-30,250.51,2,31.9,September,Monday,125.26
2024-10-01,200.92,2,25.6,October,Tuesday,100.46
2024-10-02,273.11,5,28.9,October,Wednesday,54.62
2024-10-03,259.95,3,35.8,October,Thursday,86.65
2024-10-04,219.99,3,30.8,October,Friday,73.33
2024-10-05,253.49,3,33.1,October,Saturday,84.5
2024-10-06,230.73,2,31.2,October,Sunday,115.36
2024-10-07,255.68,3,31.7,October,Monday,85.23
2024-10-08,283.11,3,28.2,October,Tuesday,94.37
2024-10-09,329.3,2,28.0,October,Wednesday,164.65
2024-10-10,188.11,4,29.1,October,Thursday,47.03
2024-10-11,356.65,2,30.9,October,Friday,178.32
2024-10-12,152.4,3,26.9,October,Saturday,50.8
2024-10-13,242.41,2,28.5,October,Sunday,121.2
2024-10-14,279.42,4,26.8,October,Monday,69.86
2024-10-15,264.05,2,28.5,October,Tuesday,132.02
2024-10-16,218.87,3,23.0,October,Wednesday,72.96
2024-10-17,239.59,4,38.4,October,Thursday,59.9
2024-10-18,225.35,5,25.1,October,Friday,45.07
2024-10-19,220.53,3,26.6,October,Saturday,73.51
2024-10-20,292.48,4,24.7,October,Sunday,73.12
2024-10-21,267.85,4,30.5,October,Monday,66.96
2024-10-22,215.35,5,27.2,October,Tuesday,43.07
2024-10-23,294.98,2,24.1,October,Wednesday,147.49
2024-10-24,265.36,2,30.6,October,Thursday,132.68
2024-10-25,290.64,3,31.2,October,Friday,96.88
2024-10-26,281.48,5,27.7,October,Saturday,56.3
2024-10-27,208.55,2,25.3,October,Sunday,104.28
2024-10-28,221.99,5,36.8,October,Monday,44.4
2024-10-29,287.36,2,29.4,October,Tuesday,143.68
2024-10-30,280.52,4,22.9,October,Wednesday,70.13
2024-10-31,248.95,2,33.7,October,Thursday,124.48
2024-11-01,255.87,5,24.6,November,Friday,51.17
2024-11-02,313.88,4,39.0,November,Saturday,78.47
2024-11-03,220.42,4,28.3,November,Sunday,55.1
2024-11-04,277.35,4,32.1,November,Monday,69.34
2024-11-05,239.89,5,19.7,November,Tuesday,47.98
2024-11-06,239.12,3,22.9,November,Wednesday,79.71
2024-11-07,304.94,3,33.3,November,Thursday,101.65
2024-11-08,291.27,3,29.3,November,Friday,97.09
2024-11-09,290.68,5,36.2,November,Saturday,58.14
2024-11-10,315.27,4,29.9,November,Sunday,78.82
2024-11-11,251.05,3,28.6,November,Monday,83.68
2024-11-12,284.1,5,34.9,November,Tuesday,56.82
2024-11-13,234.49,3,32.0,November,Wednesday,78.16
2024-11-14,266.21,2,27.2,November,Thursday,133.1
2024-11-15,243.49,3,23.6,November,Friday,81.16
2024-11-16,254.85,3,18.5,November,Saturday,84.95
2024-11-17,279.76,4,26.2,November,Sunday,69.94
2024-11-18,209.09,5,23.3,November,Monday,41.82
2024-11-19,354.62,4,38.4,November,Tuesday,88.66
2024-11-20,199.7,4,25.4,November,Wednesday,49.92
2024-11-21,189.29,4,25.3,November,Thursday,47.32
2024-11-22,307.91,4,21.9,November,Friday,76.98
2024-11-23,289.58,4,26.9,November,Saturday,72.4
2024-11-24,281.21,3,25.3,November,Sunday,93.74
2024-11-25,281.42,4,35.0,November,Monday,70.36
2024-11-26,249.39,4,28.7,November,Tuesday,62.35
2024-11-27,205.14,5,28.0,November,Wednesday,41.03
2024-11-28,253.79,2,27.5,November,Thursday,126.9
2024-11-29,216.14,3,31.1,November,Friday,72.05
2024-11-30,298.76,3,26.2,November,Saturday,99.59
2024-12-01,242.65,3,30.7,December,Sunday,80.88
2024-12-02,208.73,4,34.5,December,Monday,52.18
2024-12-03,233.93,4,29.8,December,Tuesday,58.48
2024-12-04,270.65,4,27.0,December,Wednesday,67.66
2024-12-05,221.81,5,24.2,December,Thursday,44.36
2024-12-06,208.89,2,26.9,December,Friday,104.44
2024-12-07,262.18,4,30.3,December,Saturday,65.54
2024-12-08,262.25,2,21.9,December,Sunday,131.12
2024-12-09,224.65,5,31.3,December,Monday,44.93
2024-12-10,226.45,3,28.8,December,Tuesday,75.48
2024-12-11,261.6,4,27.4,December,Wednesday,65.4
2024-12-12,177.6,2,25.4,December,Thursday,88.8
2024-12-13,179.63,2,26.1,December,Friday,89.82
2024-12-14,214.08,4,30.4,December,Saturday,53.52
2024-12-15,239.33,3,27.5,December,Sunday,79.78
2024-12-16,265.55,3,26.0,December,Monday,88.52
2024-12-17,323.77,3,29.9,December,Tuesday,107.92
2024-12-18,292.88,5,30.0,December,Wednesday,58.58
2024-12-19,242.0,2,23.0,December,Thursday,121.0
2024-12-20,249.05,2,30.3,December,Friday,124.52
2024-12-21,199.87,2,38.0,December,Saturday,99.94
2024-12-22,249.07,5,29.9,December,Sunday,49.81
2024-12-23,235.57,2,21.2,December,Monday,117.78
2024-12-24,266.14,5,28.7,December,Tuesday,53.23
2024-12-25,208.64,3,20.7,December,Wednesday,69.55
2024-12-26,275.97,4,40.7,December,Thursday,68.99
2024-12-27,326.64,2,36.9,December,Friday,163.32
2024-12-28,244.56,2,25.3,December,Saturday,122.28
2024-12-29,270.09,3,19.0,December,Sunday,90.03
2024-12-30,284.51,4,24.5,December,Monday,71.13
